gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
187252,20141231,2014,INDL,C,D,STD,USD,,5957.628,20.5664,107.085,38.497,40.873,41.41,712.891,355.09,,0,104.231,109.835,0.638,0.55,952.797,75.234,-1131.631,,5105.975,22.372,46.702,0,220.458,220.458,851.653,,,110.623,A,24.64,522110
187252,20141231,2014,FS,C,D,STD,USD,,5957.628,,,,,,712.891,355.09,,0,,,0.638,,,,,,5105.975,,,0,220.458,,851.653,,28.254,,A,24.64,522110
187253,20141231,2014,INDL,C,D,STD,USD,,530.27,13.9883,5.912,158.996,12.951,12.748,0,341.419,341.419,0,42.53,45.723,1.443,1.14,-21.097,0,-64.532,,351.947,14.802,85.52,0,204.719,204.719,178.323,,14.947,158.996,A,15.81,522291
187253,20141231,2014,FS,C,D,STD,USD,2.484,530.27,,,,,,0,341.419,,0,,,1.443,,,0,,,351.947,,,0,204.719,,178.323,,14.947,,A,15.81,522291
187267,20141231,2014,INDL,C,D,STD,CAD,,,,,,,5.967,,,,,,,,,,,,,,,,,,,,,,,A,10.55,525990
187269,20141231,2014,INDL,C,D,STD,CAD,,42.35,8.1199,0.262,0.953,6.5,5.113,0,0,0,3.255,-0.909,-0.909,,0.08,-19.519,0,0,,0.833,0.52,19.66,0,0.044,0.044,41.517,,0,0.953,A,7.95,525990
187270,20141231,2014,INDL,C,D,STD,CAD,,,,,,,12.516,,,,,,,,,,,,,,,,,,,,,,,A,10.68,525910
187271,20141231,2014,INDL,C,D,STD,CAD,,,,,,,1.714,,,,,,,,,,,,,,,,,,,,,,,A,10.08,525990
187272,20140630,2014,INDL,C,D,STD,CAD,,52.615,11.3278,52.615,0,4.607,4.607,0,0,0,3.984,-0.683,-0.683,,1.37,-16.798,0,0,,0.428,6.299,16.754,0,0,0,52.187,,0,0.683,A,11,525990
187273,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,A,49.71,525990
187274,20141231,2014,INDL,C,D,STD,USD,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,A,44.26,525990
187284,20141231,2014,INDL,C,D,STD,USD,,,,,,,13.732,,,,,,,,,,,,,,,,,,,,,,,A,16.32,525990
